,sqft,price,beds,baths,address,city,zip_code
0,814 sq ft,"$265,000",2 beds,1 bath,1860 W 500 N Unit C17, Salt Lake City, 84116
1,"1,740 sq ft","$434,900",4 beds,2.5 baths,1590 S 900 W #1203, Salt Lake City, 84104
2,"1,653 sq ft","$319,900",3 beds,2 baths,1866 S Main St, Salt Lake City, 84115
3,"2,984 sq ft","$549,900",3 beds,2 baths,2862 S 800 E, Millcreek, 84106
4,"1,996 sq ft","$435,000",4 beds,2 baths,5129 W 5360 S, Salt Lake City, 84118
5,980 sq ft,"$78,500",2 beds,2 baths,5075 W 4700 S #68, Kearns, 84118
6,"1,664 sq ft","$499,900",4 beds,2 baths,1123 W 400 S, Salt Lake City, 84104
7,"3,768 sq ft","$799,000",4 beds,2.5 baths,1237 E Manor Circle Cir, Millcreek, 84124
8,"1,532 sq ft","$590,000",2 beds,2.5 baths,1604 E 3300 S, Millcreek, 84106
9,"1,708 sq ft","$650,000",2 beds,2 baths,940 S Donner Way E #180, Salt Lake City, 84108
10,"1,948 sq ft","$565,000",4 beds,2 baths,2236 E Vimont Ave, Salt Lake City, 84109
11,"2,140 sq ft","$790,000",4 beds,2 baths,760 E 3rd N, Salt Lake City, 84103
12,"2,067 sq ft","$750,000",2 beds,1 bath,1248 S Mcclelland St, Salt Lake City, 84105
13,"1,811 sq ft","$619,900",3 beds,2 baths,2512 S Elizabeth St E #1, Salt Lake City, 84106
14,"4,537 sq ft","$989,500",7 beds,3.5 baths,4584 S Farm Bridge Cir, Millcreek, 84117
15,"1,523 sq ft","$425,000",3 beds,2 baths,5012 S Timber Way E #205, Holladay, 84117
16,"1,029 sq ft","$400,000",3 beds,1 bath,5330 S 4460 W, Salt Lake City, 84118
17,"1,746 sq ft","$449,500",3 beds,2.5 baths,4433 S 1025 E Unit A16, Holladay, 84124
18,860 sq ft,"$300,000",2 beds,2 baths,4619 S Quail Vista Ln E Unit I, Millcreek, 84117
19,"2,142 sq ft","$650,000",3 beds,2 baths,2231 S 1800 E, Salt Lake City, 84106
20,"2,316 sq ft","$658,900",5 beds,2 baths,3801 S 2700 E, Millcreek, 84109
21,"1,884 sq ft","$469,500",5 beds,2 baths,4580 W 5570 S, Kearns, 84118
22,"1,832 sq ft","$485,000",4 beds,2 baths,1593 California Ave, Salt Lake City, 84104
23,"1,793 sq ft","$499,900",4 beds,2 baths,1868 W Colonel Rd N, Salt Lake City, 84116
24,"2,628 sq ft","$625,000",3 beds,3 baths,689 E 4149 S, Salt Lake City, 84107
25,"3,489 sq ft","$1,375,000",5 beds,3 baths,1146 E 600 S, Salt Lake City, 84102
26,"1,180 sq ft","$399,900",3 beds,2 baths,4774 S 4380 W, Kearns, 84118
27,"2,251 sq ft","$589,000",5 beds,3.5 baths,436 E Windy Garden Ln, Millcreek, 84107
28,"3,120 sq ft","$699,900",8 beds,4 baths,988 E Jasper Cir, Salt Lake City, 84106
29,"2,132 sq ft","$950,000",4 beds,2 baths,1433 E Hollywood Ave, Salt Lake City, 84105
30,"1,636 sq ft","$649,900",4 beds,2 baths,2919 S Judith St, Salt Lake City, 84106
31,"1,986 sq ft","$499,000",3 beds,1.5 baths,2978 S 2900 E, Millcreek, 84109
32,"1,100 sq ft","$85,000",3 beds,2 baths,5075 W 4700 S #46, Kearns, 84118
33,"3,041 sq ft","$1,100,000",4 beds,3.5 baths,681 E 3rd Ave, Salt Lake City, 84103
34,"2,696 sq ft","$1,399,000",4 beds,2.5 baths,1169 E 3rd Ave, Salt Lake City, 84103
35,"1,940 sq ft","$799,000",4 beds,2 baths,483 E 8th Ave, Salt Lake City, 84103
36,"1,176 sq ft","$414,500",3 beds,2 baths,4725 W 5100 S, Kearns, 84118
37,"3,140 sq ft","$890,000",5 beds,2 baths,1923 S 2600 E, Salt Lake City, 84108
38,"1,495 sq ft","$479,000",3 beds,1.5 baths,6161 S Longmore Dr W, Salt Lake City, 84118
39,"1,176 sq ft","$419,000",3 beds,2 baths,4441 W 4865 S, Kearns, 84118
40,"1,520 sq ft","$469,900",4 beds,2 baths,5943 S Red Zinc Dr W, Salt Lake City, 84118
41,"1,872 sq ft","$400,000",5 beds,2 baths,5818 W Plumbago Ave, Kearns, 84118
42,"4,660 sq ft","$3,300,000",4 beds,4 baths,4345 S Zarahemla Dr, Salt Lake City, 84124
43,758 sq ft,"$379,500",1 bed,1 bath,143 E First Ave N #404, Salt Lake City, 84103
44,"1,380 sq ft","$320,000",2 beds,1 bath,1132 E 2700 S Unit E33, Millcreek, 84106
45,943 sq ft,"$315,000",2 beds,2 baths,1488 E Foxboro Dr S #2, Millcreek, 84106
46,"1,681 sq ft","$479,000",4 beds,2 baths,1067 S Pueblo W, Salt Lake City, 84104
47,"3,278 sq ft","$1,425,000",4 beds,4.5 baths,219 E Dorchester Dr, Salt Lake City, 84103
48,"1,900 sq ft","$450,000",4 beds,2 baths,5290 W Stockton St, Salt Lake City, 84118
49,"2,624 sq ft","$564,900",5 beds,2.5 baths,5877 S Trowbridge Way W, Salt Lake City, 84118
50,"11,299 sq ft","$5,300,000",5 beds,6 baths,1358 E Tomahawk Dr N, Salt Lake City, 84103
51,908 sq ft,"$550,000",2 beds,2 baths,1119 E First Ave N #1, Salt Lake City, 84103
52,"3,678 sq ft","$1,695,000",3 beds,3.5 baths,1234 E 900 S, Salt Lake City, 84105
53,"2,639 sq ft","$750,000",5 beds,3 baths,1165 E Hillview Dr, Millcreek, 84124
54,"3,108 sq ft","$995,000",5 beds,3.5 baths,821 E Springview Dr S, Salt Lake City, 84106
55,"2,059 sq ft","$715,000",3 beds,2 baths,554 E 5th Ave, Salt Lake City, 84103
56,"2,352 sq ft","$675,000",5 beds,3 baths,4325 S Park St E, Murray, 84107
57,"1,289 sq ft","$423,000",2 beds,2 baths,2760 S Highland Dr E #20, Salt Lake City, 84106
